2025-03-26 14:29:34,33.83,20.61,385
2025-03-26 14:29:49,9.9,5.83,1964
2025-03-26 14:30:04,13.31,5.1,1769
2025-03-26 14:30:19,34.87,85.06,1875
2025-03-26 14:30:34,-22.91,15.59,652
2025-03-26 14:30:49,-35.13,50.82,746
2025-03-26 14:31:04,47.67,72.66,1105
2025-03-26 14:31:19,49.58,33.85,1864
2025-03-26 14:31:34,-11.71,76.34,1945
2025-03-26 14:31:49,-41.85,9.27,1296
2025-03-26 14:32:04,-13.8,75.38,1798
2025-03-26 14:32:19,-25.29,2.71,1432
2025-03-26 14:32:34,-22.75,0.58,430
2025-03-26 14:32:49,-26.6,24.3,1848
2025-03-26 14:33:04,40.19,20.34,1803
2025-03-26 14:33:19,-17.78,42.79,1764
2025-03-26 14:33:34,-22.64,79.41,1586
2025-03-26 14:33:49,13.94,53.15,1187
2025-03-26 14:34:04,-22.03,0.66,983
2025-03-26 14:34:19,2.41,91.76,590
2025-03-26 14:34:34,49.58,65.43,1622
